timestamp_utc,puuid,tier,old_lp,new_lp,lp_delta
2026-06-25T21:35:35,Zq0L-xWv59FCsDaLDh5THsNDKlL9uquQ32P8YmzfkICwhdgjbeLN0clqpInWQVToJ6PfroeXq34h6A,gm,401,433,32
2026-06-25T21:40:40,wo6Tr5gUKkqQ07ne2PawHlAaae73k5rx7GQ4RyGCvcW4Y-srSPNpr2xLwoM1LgI7ws-LmujWTuuA8g,gm,900,869,-31
2026-06-25T21:40:40,OlLQu_1KuZUFGI2BRG6fLYRpYYVHL1xuXBR1An2lDjvBhYih7kg9JvIMyQxR61-Dz6igObEzl8vAEg,gm,661,631,-30
2026-06-25T21:40:40,oaUu8Tqpos8f76vvXYbGYnIYjpd63UGvroILyUfFIzHbbP0ncTxu1zjJE2q4G-4npoR4b906IlmQWw,gm,630,601,-29
2026-06-25T21:40:40,IbceSf0qU8F0AHhYOHbEmgy2RjO0dCUeB0Mt7TWUgeKZ6ntw7CRaEN-hoEd0zexjIP7d4VtIhhzkBA,gm,514,546,32
2026-06-25T21:40:40,XudqQ4VzMhd_QKLSmLvR9nIWc-SgGuxo2fRd5r57htNdLUfUfKMNvoAZ0VSnAr8-DKcoF84H8UDyaQ,gm,521,490,-31
2026-06-25T21:40:40,QGVw0Y0n4dbcBcgwbxa_7RQLj43Qo80Jq-ZTtvyEfhlfsgkDaW_6Ha3dnh_nRpL6mD8vWvCttg1Yfw,gm,463,435,-28
2026-06-25T21:40:40,qkkfkDa7XWm4ct7nq9-0j2HSuBsyXjxZMRjMpK5Pg_HgIDzShLhz5vkF8mpKQwyLLgxld03AIdlgig,master,435,410,-25
2026-06-25T21:40:40,e9UHHSp4auAjxhHwJt3F19_TGv-nyOsO48Jo0-8UJW7PWVHRcjbvrzRRDsyGG3NZSv9PDy2-0tI1Vg,master,301,274,-27
2026-06-25T21:40:40,35Tageyae8SzeqwcLxLcyxu489q1f9u-Wzdjh--41PGJ0En31RDrEupzfeJSZG1pyX0yAHSMUscLfg,master,181,243,62
2026-06-25T21:40:40,6GMrgwiGS59r_V_J-LUrdjirRm7ab-1pbkV0xaygAq-cZa6HzgvvEDXdjD256Szi-keASS5i_OT4Kw,master,199,230,31
2026-06-25T21:40:40,Dj8YA-z71kH-ugNh5XxBzd-znAMCqExo3HuflbbhARXxHQ5KTttM_mMPVnQQnq4lhxwGG1FsTkhNrg,master,247,220,-27
2026-06-25T21:40:40,f8J4nPoMaozaDI0MMiXJxWcCVShfL-eJfeojXjnoR5IQ8VQOsHEXKXdv0NEX6lDhKbErhK7EuDHPdg,master,231,201,-30
2026-06-25T21:40:40,6S6MWzAZeARlb3bvvVAD_THXUqDn84O6zzGbhxlM-ypahgeWVGw8fgS-NcsxW__R1iJAWn8JG0TLtQ,master,220,189,-31
2026-06-25T21:40:40,wFRV5lHnH5Qrv4-cG8stsFFU_hOSlDmbk6SYJQHsO57RHs0GMTBrR3ZPBds39Ejc9zSmEuQfFCUyXg,master,198,172,-26
2026-06-25T21:40:40,3P_j96-3x-zmlw6OI1o4MyXMLvq1W5vvakxbM8lKf-GaN4bL49TkFeDHE6Z7yl3ohxYMDxbB2lRdnA,master,129,159,30
2026-06-25T21:40:40,-9w5DQ7BtlPR0BaAbCa1FpBwcHuzw_eI89qWJqUrbg2sXZ_FIDI-YYY3O5W-MgZcj1NOjAGdW_V2xQ,master,175,144,-31
2026-06-25T21:40:40,I3z76FGrYHr6yHvrvOauY_JeyJwSVCa6Qgt3MmAeI0D1fwYO0UPJv9yE7CNh1pqRkXDug960cL9_kA,master,60,95,35
2026-06-25T21:40:40,ci-CyVdzh5bb3ywp4ebKqBhBsbjFFcqrMO1ps_92ql4g_P3eBpI0gvPllP3jHEsxqJSEKycuCblfuQ,master,120,90,-30
